Landscape;Point;Trap_num;Year;Month;Day;Muncipality;Lat;Long;Alt;Ateuchus.volxemi;Ateuchus.carbonarius;Canthidium.sp;Chalcocopris.hesperus;Canthon.ibarragrassoi;Canthon.aff.angularis;Canthon.virens.chalybaeus;Canthon.histrio;Canthon.aff.luctuosus;Canthon.podagricus;Canthon.aff.semiopacus;Coprophanaeus.bellicosus;Coprophanaeus.cerberus;Coprophanaeus.saphirinus;Deltochilum.Deltohyboma.sp.;Deltochilum.brasiliense;Deltochilum.dentipes;Deltochilum.furcatum;Deltochilum.morbillosum;Deltochilum.rubripenne;Dichotomius.sp1;Dichotomius.sp2;Dichotomius.sp3;Dichotomius.sp4;Dichotomius.sp5;Dichotomius.assifer;Dichotomius.bos;Dichotomius.aff.carbonarius.sp1;Dichotomius.depressicollis;Dichotomius.fissus;Dichotomius.mormon;Dichotomius.quadrinodosus;Dichotomius.aff.carbonarius.sp2;Eurysternus.cyanescens;Eurysternus.francinae;Eurysternus.hirtellus;Eurysternus.inflexus;Eurysternus.parallelus;Ontherus.sulcator;Onthophagus.sp1;Onthophagus.sp2;Onthophagus.sp3;Onthophagus.sp4;Paracanthon.rosinae;Paracanthon.monteiroorum;Pseudocanthon.xanthurus;Phanaeus.dejeani;Phanaeus.splendidulus;Scybalocanthon.nigriceps;Sylvicanthon.foveiventris;Trichillum.sp.;Uroxys.sp1;Uroxys.sp2;Uroxys.sp3;Uroxys.sp4;Uroxys.aff.brevis
148;5;1;2015;1;14;Nazaré Paulista;-23.248175;-46.356659;860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;5;4;2015;1;14;Nazaré Paulista;-23.248201;-46.356952;864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;5;7;2015;1;14;Nazaré Paulista;-23.24834;-46.357016;869;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;5;10;2015;1;14;Nazaré Paulista;-23.248594;-46.357129;870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;10;1;2015;1;14;Nazaré Paulista;-23.234571;-46.340844;na;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;10;4;2015;1;14;Nazaré Paulista;-23.234571;-46.340844;na;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;10;7;2015;1;14;Nazaré Paulista;-23.234571;-46.340844;na;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;10;10;2015;1;14;Nazaré Paulista;-23.234571;-46.340844;na;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;11;1;2015;1;14;Nazaré Paulista;-23.238772;-46.363399;853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;11;6;2015;1;14;Nazaré Paulista;-23.238999;-46.363363;846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
