Landscape;area_forest_3km;sum_classes_3km;perfc_3km;area_forest_5km;sum_classes_5km;perfc_5km
148;1088,43138574824;2825,24319755536;38,525228082667;3443,42172463448;7850,33547681218;43,8633703592087
215;851,994936202356;2825,39974635795;30,1548457806939;1980,83595841782;7850,61435593571;25,231604414757
220;909,697578181488;2825,02255710531;32,2014270609442;2178,17245275131;7849,90408408231;27,7477588187111
263;285,530692667583;2825,24279495837;10,1064125595545;1052,87129203331;7850,33514753561;13,4118005441313
266;872,233070134231;2825,02344191592;30,8752507038556;2446,113677656;7849,9458454507;31,1608987605131
282;431,257806709478;2825,56673570868;15,2627011515732;1302,75408102767;7966,4150922844;16,3530780901614
291;1291,90571834294;2824,27373036552;45,7429357662063;3542,7540898811;7849,73840408083;45,1321293463657
317;1378,28029956209;2826,77459796998;48,7580545173955;3756,07202205947;7849,45387289087;47,8513802728565
329;416,535326307164;2826,28432308803;14,7379130579493;1069,76962893643;7851,01258259203;13,6258809635386
333;387,43920528965;2825,12968364314;13,7140325816841;1138,96284906297;7849,71953171597;14,5095992851861
335;678,482428887382;2841,31923119588;23,879134081031;1390,24637362425;7234,57555845971;19,2166957465607
359;511,999492342202;2828,40189500165;18,1020771216073;1383,46928919809;7849,77655954518;17,6243142553633
399;840,164805892452;2825,39778854004;29,7361599595004;1960,90284491945;7850,35898120722;24,9785118058118
